1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
中山區,Jhongshan District ,,,"235,963","232,683","226,775","226,566","221,585","215,980","212,238","215,168","214,652","215,532","216,043","217,569","216,999","216,868","216,906","219,582","218,483","218,841","218,245","220,126","224,102","226,659","228,753",古亭區,"179,311","182,678",
中正區,Jhongjheng District ,,,"183,668","181,233","175,261","174,708","170,853","166,892","164,955","166,532","165,324","163,090","161,635","161,808","159,599","158,486","157,335","158,604","159,486","159,337","158,752","159,536","161,449","162,154","163,140",雙園區,"137,853","136,371",
大同區,Datong District ,,,"149,817","147,505","140,922","138,170","135,098","134,183","133,661","134,563","133,503","132,694","131,343","131,077","129,440","128,512","126,810","126,923","126,128","124,653","123,399","124,600","126,640","128,809","129,820",龍山區,"50,290","49,156",
萬華區,Wanhua District ,,,"230,801","228,384","220,896","217,632","213,983","211,091","208,464","209,780","207,943","206,855","204,024","203,451","200,266","197,445","194,743","194,879","192,470","190,361","188,437","189,099","190,855","192,628","193,480",城中區,"56,638","55,162",
文山區,Wunshan District ,,,"225,755","226,295","223,822","223,003","227,707","229,992","235,361","243,939","248,602","253,131","253,920","256,528","256,506","258,046","258,953","261,417","261,666","261,719","260,869","262,307","266,442","269,310","271,341",建成區,"35,215","32,179",
南港區,Nangang District ,,,"117,764","117,698","115,177","113,412","112,411","111,733","110,982","112,699","113,070","114,144","113,937","113,839","113,122","112,982","113,052","113,258","113,716","113,672","113,149","114,023","116,131","118,490","119,752",延平區,"38,454","34,722",
內湖區,Neihu District ,,,"214,750","215,529","216,149","219,951","226,055","231,972","237,349","244,642","249,588","253,584","254,521","258,611","259,789","261,201","261,837","264,624","265,518","266,808","267,704","270,245","275,652","280,025","282,842",大同區,"95,555","88,324",
士林區,Shihlin District ,,,"300,512","301,068","298,419","299,127","298,255","294,405","293,731","296,810","295,209","294,443","292,096","291,493","289,194","288,921","287,753","288,212","287,048","286,065","283,855","284,539","287,072","288,894","289,742",中山區,"238,157","266,440",
北投區,Beitou District ,,,"244,055","242,548","241,486","243,279","242,556","241,781","241,824","246,105","246,779","248,427","247,904","249,115","249,029","248,989","247,939","249,674","249,976","249,752","248,047","249,206","252,290","254,192","255,444",內湖區,"86,342","160,442",
臺中市,Taichung City,"1,651,296","1,856,587","2,061,036","2,112,465","2,167,852","2,212,603","2,257,950","2,303,762","2,349,722","2,385,367","2,421,996","2,460,098","2,485,968","2,508,495","2,529,763","2,548,332","2,566,220","2,587,828","2,606,794","2,624,072","2,635,761","2,648,419","2,664,394","2,684,893","2,701,661",南港區,"91,553","110,595",
