1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
造橋鄉,Zaociao Township ,"14,632","14,844","14,535","14,747","14,787","14,916","14,932","14,710","14,696","14,529","14,403","14,301","14,356","14,200","14,141","14,066","13,998","13,965","13,857","13,725","13,737","13,727","13,687","13,626","13,517",,,,
三灣鄉,Sanwan Township ,"10,447","9,121","8,211","8,232","8,533","8,382","8,314","8,203","8,151","8,033","7,915","7,807","7,783","7,738","7,626","7,555","7,505","7,552","7,496","7,400","7,393","7,264","7,210","7,191","7,126",,,,
獅潭鄉,Shihtan Township ,"8,596","7,585","6,500","6,368","6,339","6,192","6,126","6,034","5,825","5,758","5,656","5,526","5,469","5,420","5,352","5,262","5,308","5,201","5,188","5,048","5,059","4,928","4,821","4,777","4,678",,,,
泰安鄉,Taian Township ,"6,274","5,574","5,630","5,508","5,631","5,695","5,631","5,584","5,511","5,539","5,525","5,462","5,600","5,593","5,571","5,516","5,650","5,707","5,707","5,701","5,950","5,982","5,947","5,892","5,969",,,,
彰化縣,Changhua County,"1,180,612","1,226,231","1,254,228","1,264,955","1,273,655","1,281,296","1,288,447","1,292,482","1,297,744","1,301,467","1,305,640","1,310,531","1,313,994","1,316,179","1,316,443","1,316,762","1,315,826","1,315,034","1,314,354","1,312,935","1,312,467","1,307,286","1,303,039","1,299,868","1,296,013",,,,
彰化市,Changhua City ,"185,816","203,541","217,328","219,536","221,090","222,722","223,675","224,066","225,006","226,151","227,715","229,915","231,129","232,156","233,435","234,308","234,614","235,322","235,998","236,631","237,160","236,503","236,646","236,636","236,172",,,,
鹿港鎮,Lugang Township ,"73,459","76,979","79,087","79,647","80,401","80,991","81,233","81,302","81,615","82,374","82,811","83,585","83,962","84,314","84,453","84,767","85,020","85,084","85,239","85,340","85,364","85,325","85,476","85,858","85,964",,,,
和美鎮,Hemei Township ,"66,627","72,507","77,296","78,886","79,865","80,767","81,458","82,363","83,218","84,183","85,450","86,439","87,176","87,698","87,792","88,245","88,416","88,841","89,053","89,386","89,624","89,723","90,173","90,298","90,541",,,,
北斗鎮,Beidou Township ,"29,156","30,679","31,868","32,147","32,360","32,700","32,809","33,042","33,414","33,593","33,681","33,809","33,869","33,718","33,604","33,505","33,459","33,494","33,548","33,620","33,631","33,516","33,379","33,280","33,151",,,,
員林鎮,Yuanlin Township ,"104,436","114,667","122,635","122,989","123,121","124,400","125,054","125,905","126,047","126,371","126,402","126,528","126,800","127,102","127,284","127,042","126,420","126,175","126,189","125,962","125,838","125,476","125,144","125,141","124,938",,,,
溪湖鎮,Sihu Township ,"46,949","49,861","52,168","52,684","53,077","53,627","54,197","54,732","54,827","55,183","55,272","55,481","55,875","55,953","56,106","56,356","56,417","56,430","56,607","56,449","56,260","56,119","55,918","55,899","55,802",,,,
田中鎮,Tianjhong Township ,"45,855","46,514","45,916","46,360","46,869","46,278","46,689","46,885","47,097","47,139","46,982","46,813","46,574","46,421","46,193","45,722","45,502","45,176","45,061","44,769","44,499","44,065","43,652","43,428","43,106",,,,
二林鎮,Erlin Township ,"59,656","59,225","57,452","57,595","57,826","57,740","57,713","57,510","57,387","57,336","57,228","56,996","56,884","56,903","56,724","56,449","56,050","55,538","55,045","54,795","54,479","53,939","53,552","53,198","52,864",,,,
線西鄉,Siansi Township,"15,126","15,230","15,206","15,439","15,700","15,837","16,045","16,304","16,514","16,579","16,789","16,790","16,936","17,021","17,125","17,010","17,024","17,008","17,042","17,030","17,081","17,138","16,998","17,056","17,123",,,,
伸港鄉,Shengang Township ,"26,913","28,838","30,244","30,794","31,063","31,468","31,929","32,380","32,870","33,313","33,656","34,044","34,474","34,777","34,968","35,179","35,440","35,539","35,724","35,825","35,942","35,964","35,985","36,037","36,114",,,,
福興鄉,Fusing Township ,"40,691","43,448","44,742","45,345","45,884","46,366","46,903","47,329","47,723","47,800","48,053","48,381","48,611","48,679","48,648","48,607","48,704","48,782","48,940","49,005","49,130","48,945","48,625","48,182","48,015",,,,
秀水鄉,Sioushuei Township ,"30,346","31,989","34,193","34,599","35,026","35,541","36,026","36,423","36,844","37,237","37,516","37,782","37,905","38,063","38,286","38,431","38,510","38,675","38,853","38,968","38,985","39,122","39,273","39,429","39,385",,,,
花壇鄉,Huatan Township ,"37,095","39,629","42,012","42,598","43,256","43,884","44,499","44,998","45,389","45,575","45,776","45,981","46,007","46,185","46,260","46,336","46,248","46,357","46,125","46,193","46,238","46,187","46,047","46,017","45,987",,,,
芬園鄉,Fenyuan Township ,"27,541","26,873","25,855","26,059","26,383","26,556","26,918","26,859","26,761","26,702","26,648","26,788","26,630","26,373","26,069","25,968","25,671","25,515","25,340","25,090","24,980","24,814","24,670","24,457","24,258",,,,
大村鄉,Dacun Township ,"31,653","32,174","32,702","33,078","33,423","33,713","33,984","34,214","34,621","34,876","35,137","35,377","35,761","35,714","35,885","36,137","36,436","36,547","36,412","36,501","36,646","36,597","36,533","36,469","36,452",,,,
埔鹽鄉,Puyan Township ,"34,162","34,592","34,605","34,851","35,170","35,331","35,367","35,370","35,729","35,652","35,696","35,660","35,605","35,505","35,280","35,061","35,037","34,897","34,764","34,667","34,565","34,284","34,082","33,712","33,456",,,,
埔心鄉,Pusin Township ,"31,249","31,911","32,748","33,292","33,718","33,901","34,055","34,085","34,379","34,424","34,561","34,745","34,777","34,918","34,920","35,082","35,136","35,471","35,550","35,498","35,410","35,325","35,278","35,186","35,034",,,,
永靖鄉,Yongjing Township ,"37,103","38,438","39,299","39,533","39,778","39,846","39,978","40,021","39,957","39,982","40,026","40,128","40,243","40,064","40,157","40,115","39,999","39,965","39,723","39,595","39,607","39,269","38,907","38,718","38,530",,,,
社頭鄉,Shetou Township ,"40,110","41,662","43,154","43,589","43,852","44,030","44,307","44,427","44,668","44,835","45,026","45,184","45,369","45,461","45,577","45,591","45,631","45,600","45,498","45,231","45,038","44,767","44,418","44,211","43,868",,,,
二水鄉,Ershuei Township ,"22,482","21,156","19,872","19,767","19,596","19,405","19,281","19,036","18,882","18,670","18,485","18,219","18,077","18,016","17,786","17,705","17,515","17,283","17,122","16,929","16,749","16,520","16,345","16,133","15,999",,,,
田尾鄉,Tianwei Township ,"29,083","28,450","27,514","27,652","27,773","28,131","28,415","28,603","28,850","28,836","29,019","29,232","29,343","29,949","29,462","29,384","29,387","29,246","29,163","28,911","28,890","28,639","28,355","28,050","27,984",,,,
埤頭鄉,Bitou Township ,"34,205","34,012","33,103","33,258","33,384","33,472","33,386","33,319","32,983","33,014","32,790","32,749","32,685","32,524","32,452","32,316","32,303","32,088","32,080","32,015","32,008","31,771","31,501","31,415","31,221",,,,
芳苑鄉,Fangyuan Township ,"45,870","43,094","40,538","40,604","40,565","40,553","40,821","40,111","40,452","39,683","39,330","38,902","38,591","38,306","38,131","37,980","37,781","37,402","37,065","36,784","36,637","36,320","35,752","35,337","35,104",,,,
大城鄉,Dacheng Township ,"27,193","25,062","22,864","22,715","22,724","22,524","22,384","22,088","21,809","21,618","21,410","21,040","20,943","20,601","20,324","20,063","19,888","19,515","19,241","19,094","19,151","18,936","18,639","18,337","18,043",,,,
竹塘鄉,Jhutang Township ,"21,003","19,925","18,101","18,103","18,140","17,983","17,753","17,510","17,334","17,173","17,189","17,101","17,059","17,023","16,920","16,819","16,806","16,779","16,763","16,616","16,693","16,470","16,365","16,201","16,040",,,,
溪州鄉,Sijhou Township ,"36,833","35,775","33,726","33,835","33,611","33,530","33,568","33,600","33,368","33,168","32,992","32,862","32,709","32,735","32,602","32,584","32,412","32,305","32,209","32,031","31,862","31,552","31,326","31,183","30,862",,,,
南投縣,Nantou County,"527,538","534,920","539,211","542,396","544,610","546,091","546,517","545,667","546,707","545,874","544,038","541,537","541,818","541,292","540,397","538,413","537,168","535,205","533,717","531,753","530,824","526,491","522,807","520,196","517,222",,,,
南投市,Nantou City ,"85,273","92,231","98,634","100,015","101,015","102,051","102,990","103,326","104,152","104,777","104,723","104,460","104,563","105,061","105,257","105,356","105,322","105,506","105,671","105,143","104,670","104,083","103,687","103,285","102,790",,,,
埔里鎮,Puli Township ,"82,064","83,989","86,313","86,572","87,070","87,493","87,362","87,474","87,975","88,271","87,933","87,526","87,519","87,417","87,350","87,069","86,920","86,684","86,415","86,189","85,779","85,088","84,596","84,300","83,701",,,,
草屯鎮,Caotun Township ,"82,471","86,839","91,263","92,456","93,130","94,082","94,825","95,628","96,352","96,833","97,280","97,740","98,180","98,617","99,059","99,342","99,523","99,752","99,884","100,143","100,294","99,674","99,249","99,374","99,297",,,,
竹山鎮,Jhushan Township ,"62,881","63,325","62,622","62,923","63,078","62,944","63,054","62,669","62,592","62,269","61,811","61,209","61,068","60,782","60,459","60,022","59,796","59,415","59,329","59,003","58,826","58,338","57,988","57,560","57,101",,,,
集集鎮,Jiji Township ,"14,649","13,756","12,678","12,750","12,767","12,514","12,429","12,347","12,296","12,250","12,335","12,279","12,302","12,328","12,459","12,393","12,311","12,216","12,109","12,055","12,103","11,920","11,737","11,576","11,413",,,,
名間鄉,Mingjian Township ,"41,510","41,565","41,643","42,082","42,486","42,895","42,902","42,968","42,832","42,754","42,768","42,847","42,900","42,774","42,670","42,454","42,253","41,910","41,677","41,589","41,603","41,218","40,966","40,682","40,382",,,,
鹿谷鄉,Lugu Township ,"23,422","23,045","22,341","22,267","22,125","21,988","21,883","21,655","21,568","21,279","21,062","20,801","20,597","20,428","20,292","20,077","19,879","19,761","19,581","19,437","19,376","19,100","18,947","18,878","18,667",,,,
中寮鄉,Jhongliao Township ,"22,995","21,668","19,722","19,548","19,512","19,240","19,046","18,742","18,567","18,252","17,925","17,688","17,680","17,394","17,180","17,031","16,941","16,763","16,587","16,445","16,405","16,183","16,005","15,901","15,719",,,,
魚池鄉,Yuchih Township ,"20,947","19,627","18,682","18,716","18,740","18,460","18,433","18,183","18,102","17,894","17,910","17,713","17,833","17,806","17,645","17,541","17,549","17,422","17,342","17,344","17,411","17,181","16,927","16,747","16,696",,,,
國姓鄉,Guosing Township ,"28,905","28,157","26,177","26,115","25,778","25,622","25,579","25,339","25,025","24,643","24,173","23,675","23,401","23,136","22,795","22,392","22,133","21,776","21,497","21,195","20,964","20,668","20,351","20,165","19,919",,,,
水里鄉,Shueili Township ,"29,334","28,009","26,548","26,101","25,615","25,210","24,566","24,203","23,837","23,425","22,996","22,632","22,479","22,276","22,106","21,837","21,613","21,273","20,913","20,593","20,383","20,063","19,700","19,341","19,071",,,,
信義鄉,Sinyi Township ,"17,561","17,868","17,830","17,955","18,079","18,304","18,096","18,151","18,006","17,869","17,750","17,673","17,811","17,761","17,593","17,421","17,356","17,222","17,258","17,166","17,360","17,314","17,059","16,802","16,727",,,,
仁愛鄉,Renai Township ,"15,526","14,841","14,758","14,896","15,215","15,288","15,352","14,982","15,403","15,358","15,372","15,294","15,485","15,512","15,532","15,478","15,572","15,505","15,454","15,451","15,650","15,661","15,595","15,585","15,739",,,,
雲林縣,Yunlin County,"796,968","783,526","753,710","753,841","755,753","753,791","753,998","752,427","751,913","748,995","746,241","743,368","743,562","742,797","740,501","736,772","733,330","728,490","725,672","723,674","722,795","717,653","713,556","710,991","707,792",,,,
斗六市,Douliou City ,"83,207","88,142","91,030","92,042","93,016","94,356","95,369","96,805","97,826","98,896","99,680","101,019","101,690","102,460","103,425","103,910","104,303","104,918","105,574","106,226","106,723","106,854","107,143","107,727","108,011",,,,
斗南鎮,Dounan Township ,"44,951","45,485","46,382","46,666","46,794","47,357","47,545","47,609","47,718","47,860","47,979","48,249","48,377","48,446","48,534","48,199","48,067","47,969","47,823","47,585","47,461","47,120","46,815","46,570","46,271",,,,
虎尾鎮,Huwei Township ,"66,768","67,457","67,308","67,672","67,770","66,714","66,670","66,276","66,617","66,734","67,007","67,471","67,619","67,945","68,382","68,504","68,569","68,979","69,420","69,874","70,259","70,025","70,080","70,423","70,486",,,,
西螺鎮,Siluo Township ,"51,404","50,854","50,566","50,603","50,671","50,393","50,479","50,303","50,055","50,142","50,076","50,007","50,239","50,198","50,163","50,005","49,711","49,207","49,282","48,990","48,954","48,502","48,125","47,791","47,482",,,,
土庫鎮,Tuku Township ,"35,746","34,278","32,583","32,688","32,937","32,896","32,878","32,800","32,721","32,470","32,349","32,048","32,107","32,111","31,971","31,805","31,549","31,341","31,099","30,952","30,730","30,476","30,247","29,957","29,797",,,,
北港鎮,Beigang Township ,"54,230","52,348","49,710","49,464","49,029","48,957","48,486","48,161","47,947","47,325","46,910","46,346","46,434","45,921","45,609","45,353","45,082","44,657","44,336","43,781","43,537","43,059","42,483","42,257","41,986",,,,
古坑鄉,Gukeng Township ,"39,507","37,999","36,716","36,737","36,846","36,712","36,859","36,815","36,547","36,325","36,206","35,794","35,766","35,672","35,525","35,600","35,423","35,079","34,952","34,976","34,598","34,061","33,659","33,280","32,865",,,,
大埤鄉,Dabi Township ,"26,784","25,429","23,990","23,954","23,880","24,069","24,278","24,032","23,741","23,477","23,294","23,072","22,907","22,811","22,636","22,476","22,347","22,064","21,912","21,702","21,533","21,234","20,893","20,582","20,290",,,,
莿桐鄉,Cihtong Township ,"31,928","31,960","31,588","31,661","31,827","31,910","31,995","32,169","32,245","32,067","32,091","31,993","31,927","32,004","31,776","31,516","31,422","31,163","30,841","30,741","30,715","30,477","30,251","29,906","29,825",,,,
林內鄉,Linnei Township ,"22,526","22,322","21,958","22,086","22,110","21,997","21,751","21,748","21,504","21,519","21,202","21,351","21,377","21,045","20,985","21,036","20,719","20,608","20,415","20,144","20,089","19,720","19,581","19,352","19,117",,,,
二崙鄉,Erlun Township ,"37,007","35,833","33,592","33,367","33,442","33,183","33,085","32,876","32,767","32,671","32,514","32,301","32,201","32,079","31,980","31,700","31,362","30,908","30,570","30,289","30,076","29,665","29,331","29,060","28,712",,,,
崙背鄉,Lunbei Township ,"32,318","31,969","30,206","30,170","30,105","30,154","30,034","29,948","29,860","29,662","29,594","29,504","29,332","29,293","29,094","28,859","28,572","28,348","28,099","27,976","27,755","27,350","26,879","26,570","26,241",,,,
麥寮鄉,Mailiao Township ,"34,554","34,612","31,863","31,820","31,960","31,722","31,932","32,118","32,614","32,717","32,527","32,277","32,436","32,599","32,566","32,613","32,748","32,968","33,279","34,036","35,053","37,029","39,147","41,096","42,526",,,,
東勢鄉,Dongshih Township ,"22,649","21,568","19,874","19,844","20,040","20,039","20,037","20,045","19,960","19,838","19,617","19,308","19,101","18,904","18,667","18,486","18,296","17,901","17,616","17,370","17,170","16,780","16,379","16,100","15,810",,,,
褒忠鄉,Baojhong Township ,"17,595","17,072","15,918","15,870","15,997","15,844","15,743","15,714","15,946","15,853","15,784","15,550","15,476","15,414","15,289","15,231","15,111","14,981","14,813","14,624","14,623","14,251","13,997","13,869","13,706",,,,
臺西鄉,Taisi Township ,"35,324","34,060","31,430","31,277","31,202","31,007","30,720","30,405","30,494","29,912","29,587","29,230","29,238","29,079","28,534","28,077","28,152","27,676","27,468","26,986","26,563","26,223","25,662","25,068","24,897",,,,
元長鄉,Yuanchang Township ,"39,037","37,233","34,214","34,151","34,158","33,690","33,604","33,409","33,003","32,793","32,439","31,926","31,940","31,674","31,366","30,993","30,710","30,150","29,739","29,388","29,325","28,795","28,367","28,002","27,640",,,,
四湖鄉,Sihhu Township ,"39,779","37,336","33,479","33,315","33,239","32,939","32,974","32,400","31,524","31,166","30,694","30,081","29,855","29,907","29,382","28,885","28,456","27,946","27,583","27,462","27,252","26,694","26,316","25,907","25,501",,,,
口湖鄉,Kouhu Township ,"40,323","39,068","35,906","35,525","35,719","35,296","35,119","34,785","34,939","34,187","33,759","33,323","33,254","33,360","33,124","32,569","32,131","31,515","31,031","31,030","30,894","30,392","29,898","29,646","29,344",,,,
水林鄉,Shueilin Township ,"41,331","38,501","35,397","34,929","35,011","34,556","34,440","34,009","33,885","33,381","32,932","32,518","32,286","31,875","31,493","30,955","30,600","30,112","29,820","29,542","29,485","28,946","28,303","27,828","27,285",,,,
嘉義縣,Chiayi County,"574,451","564,338","554,746","556,580","562,897","564,381","565,804","565,700","567,695","565,733","562,662","562,305","563,365","562,394","560,410","557,903","557,101","553,841","551,345","548,731","547,716","543,248","537,942","533,723","529,229",,,,
太保市,Taibao City ,"27,151","27,288","27,651","28,041","28,706","29,572","29,862","30,313","30,823","31,454","32,036","32,854","33,302","33,732","34,330","34,597","35,066","35,180","35,669","35,896","36,210","36,685","36,673","36,946","37,023",,,,
朴子市,Puzih City ,"46,855","45,892","45,046","45,018","44,985","44,826","44,790","44,667","44,530","44,295","44,229","44,107","44,296","44,158","44,166","44,057","44,463","44,329","44,222","44,281","44,326","44,093","43,895","43,855","43,599",,,,
布袋鎮,Budai Township ,"41,892","39,345","36,645","36,183","35,874","35,465","34,911","34,698","34,511","34,091","33,611","33,351","33,414","33,160","32,770","32,480","32,274","31,667","31,372","30,888","30,824","30,216","29,664","29,244","28,701",,,,
大林鎮,Dalin Township ,"39,861","37,829","36,382","36,521","36,963","36,950","36,972","36,724","36,651","36,503","36,238","36,205","36,144","35,985","35,648","35,309","34,938","34,666","34,382","34,101","33,982","33,635","33,207","32,917","32,593",,,,
民雄鄉,Minsyong Township ,"52,699","56,889","60,082","61,289","62,899","64,552","66,174","67,457","68,243","69,328","69,862","70,625","71,034","71,605","71,857","72,451","72,556","72,836","72,762","72,641","72,793","72,539","72,451","72,286","72,096",,,,
溪口鄉,Sikou Township ,"21,425","19,999","18,744","18,639","18,851","18,658","18,615","18,618","18,974","18,365","18,115","17,929","17,782","17,652","17,490","17,273","17,371","17,051","16,812","16,695","16,563","16,269","16,015","15,823","15,546",,,,
新港鄉,Singang Township ,"38,962","37,333","36,007","36,044","36,135","36,344","36,542","36,558","36,241","36,059","35,929","36,221","36,065","36,110","35,969","35,815","35,724","35,488","35,363","35,149","34,995","34,676","34,231","33,830","33,507",,,,
六腳鄉,Lioujiao Township ,"36,931","33,787","31,337","31,231","31,029","30,969","30,673","30,653","30,296","29,945","29,540","29,152","28,879","28,582","28,293","27,939","27,787","27,645","27,327","27,041","26,890","26,379","25,903","25,356","24,947",,,,
東石鄉,Dongshih Township ,"39,464","36,180","33,328","32,718","32,794","32,282","32,091","31,649","31,465","30,773","30,267","29,957","30,118","29,855","29,718","29,399","29,374","28,978","28,761","28,399","28,224","27,741","27,202","26,713","26,305",,,,
義竹鄉,Yijhu Township ,"30,088","27,706","25,655","25,473","25,517","25,175","24,910","24,507","24,749","24,082","23,694","23,306","23,827","22,934","22,667","22,303","22,407","22,020","21,880","21,671","21,617","21,129","20,653","20,158","19,856",,,,
鹿草鄉,Lucao Township ,"22,976","21,327","19,777","19,726","20,016","19,675","19,497","19,265","19,044","18,782","18,483","18,260","18,159","18,052","17,827","17,727","17,661","17,529","17,512","17,429","17,405","17,232","17,022","16,832","16,652",,,,
水上鄉,Shueishang Township ,"46,569","49,040","50,802","51,416","52,282","53,317","54,073","54,266","55,090","55,722","55,170","55,395","55,411","55,724","55,483","55,276","54,533","54,061","53,498","53,130","52,562","52,274","51,793","51,497","51,289",,,,
中埔鄉,Jhongpu Township ,"38,925","42,737","45,545","45,797","46,417","47,201","47,473","47,806","48,480","48,458","48,365","48,435","48,301","48,452","48,340","48,157","48,069","48,219","48,039","47,840","47,790","47,579","47,291","47,025","46,694",,,,
竹崎鄉,Jhuci Township ,"41,960","42,379","41,771","42,223","42,261","42,401","42,367","41,991","41,778","41,580","41,434","41,288","41,189","41,210","40,916","40,576","40,130","39,721","39,460","39,155","38,962","38,608","38,179","37,923","37,372",,,,
梅山鄉,Meishan Township ,"25,561","24,891","24,462","24,461","24,488","24,592","24,438","24,127","23,966","23,845","23,639","23,433","23,453","23,249","23,128","22,874","22,778","22,515","22,332","22,184","22,049","21,634","21,171","20,842","20,576",,,,
番路鄉,Fanlu Township ,"12,877","11,703","11,558","11,697","11,854","11,967","12,075","12,198","12,455","12,309","12,170","12,085","12,054","12,095","12,037","11,958","12,051","11,885","11,778","11,619","11,730","11,684","11,881","12,227","12,174",,,,
大埔鄉,Dapu Township ,"4,019","3,987","3,730","3,792","5,433","3,984","3,833","3,756","3,928","3,764","3,626","3,547","3,815","3,644","3,542","3,524","3,733","3,900","4,011","4,434","4,572","4,649","4,554","4,547","4,567",,,,
阿里山鄉,Alishan Township ,"6,236","6,026","6,224","6,311","6,393","6,451","6,508","6,447","6,471","6,378","6,254","6,155","6,122","6,195","6,229","6,188","6,186","6,151","6,165","6,178","6,222","6,226","6,157","5,702","5,732",,,,
屏東縣,Pingtung County,"892,107","897,714","897,176","901,491","906,428","909,110","911,843","912,850","913,764","910,540","909,015","907,590","909,364","906,178","903,772","900,199","898,300","893,544","889,563","884,838","882,640","873,509","864,529","858,441","852,286",,,,
屏東市,Pingtung City ,"189,347","202,079","212,335","213,309","214,304","214,728","215,096","214,627","214,628","214,313","214,727","215,282","215,245","215,584","216,338","216,777","216,708","216,425","215,962","214,987","213,614","211,027","209,416","207,862","205,945",,,,
潮州鎮,Chaojhou Township ,"53,122","54,302","55,184","55,717","55,975","56,675","57,411","57,915","57,813","57,770","57,795","57,879","57,835","57,727","57,644","57,621","57,202","56,973","56,896","56,781","55,969","55,456","55,312","55,205","55,207",,,,
東港鎮,Donggang Township ,"44,836","46,653","46,892","47,072","47,118","47,869","48,230","48,798","48,755","49,454","49,572","49,753","49,271","49,889","50,119","50,188","50,151","50,313","50,524","50,360","50,234","50,141","49,568","49,185","48,585",,,,
恆春鎮,Hengchun Township ,"36,517","33,452","31,936","32,031","32,210","31,962","31,869","31,640","31,552","31,352","31,304","31,225","31,452","31,608","31,687","31,625","31,431","31,314","31,288","31,143","31,170","31,165","30,867","30,758","30,823",,,,
萬丹鄉,Wandan Township ,"48,359","48,847","50,314","51,122","51,887","52,620","53,224","53,682","53,887","54,259","54,394","54,499","54,473","54,513","54,612","54,532","54,437","54,433","54,542","54,521","54,309","53,980","53,515","53,125","52,536",,,,
長治鄉,Changjhih Township ,"28,074","27,768","27,618","27,926","28,392","28,830","29,208","29,850","30,087","30,241","30,356","30,305","30,516","30,544","30,721","30,772","30,884","30,939","30,983","30,994","30,979","30,944","30,686","30,600","30,488",,,,
麟洛鄉,Linluo Township ,"11,310","11,151","11,154","11,344","11,336","11,431","11,746","11,828","11,892","12,011","12,043","12,072","12,060","11,981","11,920","11,792","11,819","11,716","11,694","11,619","11,649","11,516","11,406","11,301","11,303",,,,
九如鄉,Jiouru Township ,"21,075","21,098","21,325","21,452","21,713","21,979","22,480","22,914","23,151","23,202","23,333","23,577","23,545","23,439","23,475","23,491","23,315","23,257","23,226","23,092","23,004","22,859","22,689","22,563","22,408",,,,
里港鄉,Ligang Township ,"26,576","26,661","26,588","26,729","26,951","27,044","27,247","27,562","27,578","27,445","27,295","27,201","27,255","27,132","27,030","26,862","26,811","26,617","26,489","26,317","26,231","25,923","25,759","26,282","26,506",,,,
鹽埔鄉,Yanpu Township ,"28,032","27,533","27,820","28,080","28,500","28,750","28,843","28,808","28,838","28,743","28,809","28,583","28,772","28,632","28,435","28,313","28,175","27,952","27,778","27,576","27,479","27,317","27,036","26,802","26,660",,,,
高樹鄉,Gaoshu Township ,"34,456","32,376","30,438","31,132","30,967","30,915","30,907","30,716","30,416","30,027","29,728","29,426","29,208","29,028","28,717","28,307","28,093","27,819","27,533","27,325","27,226","26,797","26,331","25,999","25,682",,,,
萬巒鄉,Wanluan Township ,"26,960","25,838","25,052","24,919","25,116","25,128","25,189","25,044","24,770","24,585","24,412","24,222","24,055","23,808","23,567","23,424","23,144","22,907","22,694","22,457","22,282","21,973","21,635","21,391","21,164",,,,
內埔鄉,Neipu Township ,"60,601","62,415","62,386","62,554","62,635","62,780","63,231","63,520","63,064","62,887","62,693","62,706","62,320","61,829","61,402","60,867","60,368","59,960","59,441","59,105","58,685","57,955","57,508","57,070","56,550",,,,
竹田鄉,Jhutian Township ,"20,596","20,045","19,404","19,493","19,667","19,801","19,663","19,698","19,655","19,471","19,467","19,382","19,314","19,198","19,063","18,943","18,789","18,696","18,491","18,487","18,474","18,425","18,169","18,041","17,806",,,,
新埤鄉,Sinbi Township ,"14,166","13,600","12,642","12,590","12,621","12,459","12,394","12,269","12,140","12,005","11,996","11,864","11,864","11,781","11,614","11,422","11,309","11,145","11,097","10,904","10,913","10,706","10,532","10,373","10,243",,,,
枋寮鄉,Fangliao Township ,"33,202","32,517","31,422","31,433","31,376","31,091","31,077","30,936","30,578","30,197","30,026","29,786","29,474","29,200","28,955","28,585","28,109","27,632","27,419","27,137","26,986","26,628","26,218","25,971","25,693",,,,
新園鄉,Sinyuan Township ,"40,705","41,929","41,636","42,148","42,100","42,240","42,187","41,994","41,943","41,966","41,554","41,523","41,372","41,306","41,132","40,815","40,549","40,003","39,486","39,188","38,980","38,300","37,819","37,429","37,117",,,,
崁頂鄉,Kanding Township ,"14,326","13,925","13,846","13,964","14,067","13,991","13,958","14,051","14,431","14,788","15,138","15,305","15,320","15,374","15,514","15,788","16,350","16,809","17,058","17,042","17,335","17,379","17,053","16,680","16,429",,,,
林邊鄉,Linbian Township ,"22,902","23,905","23,674","23,820","23,898","23,912","23,840","23,790","23,602","23,365","23,130","22,953","22,795","22,562","22,232","21,850","21,725","21,491","21,305","21,101","21,143","20,854","20,286","19,909","19,573",,,,
南州鄉,Nanjhou Township ,"15,031","14,695","14,295","14,287","14,216","14,182","14,066","13,938","13,833","13,691","13,390","13,316","13,265","13,122","12,894","12,673","12,580","12,304","12,168","12,016","11,919","11,700","11,522","11,276","11,130",,,,
佳冬鄉,Jiadong Township ,"26,630","25,883","24,689","24,611","24,495","24,470","24,420","24,334","24,116","23,851","23,717","23,500","23,424","23,139","22,967","22,815","22,414","22,070","21,787","21,711","21,715","21,377","21,030","20,799","20,538",,,,
琉球鄉,Liouciou Township ,"15,558","15,080","13,898","13,463","13,671","13,161","12,886","12,619","13,800","12,562","12,472","12,514","14,485","13,316","13,215","13,139","13,289","12,813","12,652","12,550","12,620","12,300","12,169","12,145","12,415",,,,
車城鄉,Checheng Township ,"15,284","14,096","12,646","12,395","12,187","12,027","11,905","11,619","11,424","11,199","10,968","10,862","11,014","10,915","10,639","10,460","10,436","10,260","10,082","9,954","9,999","9,625","9,410","9,196","9,106",,,,
滿州鄉,Manjhou Township ,"11,236","10,458","9,451","9,363","9,378","9,371","9,269","9,153","9,174","9,156","9,017","8,827","9,175","8,930","8,726","8,591","8,981","8,786","8,675","8,541","8,679","8,453","8,256","8,243","8,124",,,,
枋山鄉,Fangshan Township ,"8,472","7,799","7,058","6,938","6,956","6,991","6,826","6,784","7,046","6,831","6,765","6,665","6,771","6,609","6,486","6,333","6,388","6,328","6,240","6,156","6,180","6,062","5,919","5,855","5,775",,,,
三地門鄉,Sandimen Township ,"6,950","6,742","6,754","6,787","7,020","6,986","6,984","7,050","7,229","7,280","7,250","7,193","7,435","7,449","7,321","7,250","7,396","7,301","7,234","7,306","7,556","7,573","7,548","7,522","7,566",,,,
霧臺鄉,Wutai Township ,"3,295","3,027","2,838","2,758","3,037","2,877","2,812","2,853","3,358","3,013","2,845","2,775","3,120","2,961","2,879","2,755","2,858","2,839","2,737","2,684","2,915","2,978","2,966","3,106","3,199",,,,
瑪家鄉,Majia Township ,"6,051","5,819","5,916","6,025","6,099","6,156","6,068","6,123","6,260","6,257","6,273","6,251","6,344","6,380","6,412","6,419","6,561","6,571","6,531","6,430","6,537","6,544","6,550","6,584","6,598",,,,
